feature,mean_abs_shap,xgb_gain,permutation_importance
prior_bugs_author,0.82875675,225.62355041503906,0.26744290220820205
churn_ratio,0.1421704,39.45063400268555,-0.0009302388463270139
time_period,0.109878615,44.6570930480957,0.018410815682740146
lines_deleted,0.10449802,33.765602111816406,0.004847679134745575
files_x_complexity,0.09879987,47.97635269165039,0.005234159531320603
size_x_complexity,0.09353995,40.44482421875,0.009099143758449923
avg_complexity,0.07005455,41.05423355102539,0.003712212708427409
complexity_per_file,0.06450039,35.58445358276367,0.0021233889139253724
day_of_week,0.05846465,32.57605743408203,0.0015515096890493351
language_group,0.052880637,37.82331466674805,0.005567282559711739
lines_added,0.042529356,33.18556594848633,0.0025473636773322705
files_changed,0.03915008,33.57185363769531,0.0016774222622804925
test_ratio,0.038512047,33.47890090942383,0.003278503830554491
night_x_complexity,0.032261852,35.43408966064453,0.001982604776926733
num_methods,0.03177068,33.42549133300781,0.005166471383506288
commit_hour,0.030503301,32.14400100708008,0.0013826047769267436
test_files_changed,0.015252671,29.41787338256836,-0.00030247859396104193
weekend_x_lines,0.012730657,33.290557861328125,-0.001919513294276487
is_night_commit,0.005376259,44.21714401245117,-0.0001863001351958493
is_weekend,0.0040829466,21.244754791259766,-0.0006084722848128555
