commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
1,0,0,1,119,38,7,0,5,8.4,0,TypeScript,2018-2020,1.0,3.05,0.0,1.05,0
20,0,0,0,20,7,4,0,1,25.0,0,TypeScript,2018-2020,1.0,2.5,0.0,5.0,0
1,1,0,1,8,3,4,0,1,26.0,0,TypeScript,2018-2020,1.0,2.0,0.0,5.2,0
22,2,0,1,2807,1688,108,5,189,2.95,0,TypeScript,2018-2020,1.0,1.66,0.05,0.03,0
22,2,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
1,3,0,1,3,3,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.75,0.0,0.0,0
11,3,0,0,37,4,5,1,3,1.0,0,TypeScript,2018-2020,1.0,7.4,0.17,0.17,0
23,3,0,1,154,59,4,0,1,33.0,0,TypeScript,2018-2020,1.0,2.57,0.0,6.6,0
15,4,0,0,192,108,7,1,8,3.12,0,TypeScript,2018-2020,1.0,1.76,0.12,0.39,0
15,4,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
18,4,0,0,48638,1,481,9,467,1.25,0,TypeScript,2018-2020,1.0,24319.0,0.02,0.0,0
21,4,0,0,149,57,15,0,8,7.62,0,TypeScript,2018-2020,1.0,2.57,0.0,0.48,0
1,5,1,1,44,46,14,0,10,7.0,0,TypeScript,2018-2020,1.0,0.94,0.0,0.47,0
1,5,1,1,3,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,3.0,0.0,0.0,0
17,5,1,0,864,441,31,2,49,5.49,0,TypeScript,2018-2020,1.0,1.95,0.06,0.17,0
18,5,1,0,21,3,2,0,2,2.0,0,TypeScript,2018-2020,1.0,5.25,0.0,0.67,0
15,0,0,0,765,164,53,0,27,5.41,0,TypeScript,2018-2020,1.0,4.64,0.0,0.1,0
21,0,0,0,0,87,14,5,13,6.54,0,TypeScript,2018-2020,1.0,0.0,0.33,0.44,0
