commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
9,4,0,0,5,1,1,1,1,1.0,0,TypeScript,2018-2020,1.0,2.5,0.5,0.5,0
9,0,0,0,411,1071,4,0,0,0.0,0,TypeScript,2018-2020,1.0,0.38,0.0,0.0,0
9,0,0,0,71,57,1,0,7,4.86,0,TypeScript,2018-2020,1.0,1.22,0.0,2.43,0
14,0,0,0,223,87,2,0,8,4.38,0,TypeScript,2018-2020,1.0,2.53,0.0,1.46,0
15,0,0,0,3447,3659,241,2,142,2.65,0,TypeScript,2018-2020,1.0,0.94,0.01,0.01,0
15,0,0,0,24,1,2,0,0,0.0,0,TypeScript,2018-2020,1.0,12.0,0.0,0.0,0
18,0,0,0,175,15,3,0,14,4.21,0,TypeScript,2018-2020,1.0,10.94,0.0,1.05,0
19,0,0,0,35,2,5,0,5,2.8,0,TypeScript,2018-2020,1.0,11.67,0.0,0.47,0
12,1,0,0,185,81,2,0,2,2.0,0,TypeScript,2018-2020,1.0,2.26,0.0,0.67,0
12,1,0,0,6,6,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.86,0.0,0.0,0
12,1,0,0,13,1,2,0,0,0.0,0,TypeScript,2018-2020,1.0,6.5,0.0,0.0,0
15,1,0,0,3,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.5,0.0,0.0,0
15,1,0,0,6,9,2,0,1,1.0,0,TypeScript,2018-2020,1.0,0.6,0.0,0.33,0
16,1,0,0,33,13,6,0,0,0.0,0,TypeScript,2018-2020,1.0,2.36,0.0,0.0,0
9,2,0,0,8,8,3,0,0,0.0,0,TypeScript,2018-2020,1.0,0.89,0.0,0.0,0
9,2,0,0,20,14,4,0,1,1.0,0,TypeScript,2018-2020,1.0,1.33,0.0,0.2,0
9,2,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
12,3,0,0,86,32,3,1,6,2.67,0,TypeScript,2018-2020,1.0,2.61,0.25,0.67,0
13,3,0,0,86,32,3,1,6,2.67,0,TypeScript,2018-2020,1.0,2.61,0.25,0.67,0
13,3,0,0,12,4,2,0,1,5.0,0,TypeScript,2018-2020,1.0,2.4,0.0,1.67,0
20,3,0,0,1,1,1,0,1,5.0,0,TypeScript,2018-2020,1.0,0.5,0.0,2.5,0
8,4,0,0,23,1,2,0,0,0.0,0,TypeScript,2018-2020,1.0,11.5,0.0,0.0,0
13,4,0,0,0,7,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.0,0.0,0.0,0
13,4,0,0,707,95,15,1,2,1.0,0,TypeScript,2018-2020,1.0,7.36,0.06,0.06,0
15,4,0,0,62,27,7,0,10,4.3,0,TypeScript,2018-2020,1.0,2.21,0.0,0.54,0
15,4,0,0,12,1,2,0,0,0.0,0,TypeScript,2018-2020,1.0,6.0,0.0,0.0,0
7,5,1,0,33,20,4,0,5,1.4,0,TypeScript,2018-2020,1.0,1.57,0.0,0.28,0
8,5,1,0,20,8,7,0,0,0.0,0,TypeScript,2018-2020,1.0,2.22,0.0,0.0,0
13,6,1,0,1,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.0,0.0,0.0,0
13,6,1,0,17,14,3,0,2,1.0,0,TypeScript,2018-2020,1.0,1.13,0.0,0.25,0
14,6,1,0,14,1,2,0,0,0.0,0,TypeScript,2018-2020,1.0,7.0,0.0,0.0,0
9,0,0,0,222,277,4,0,0,0.0,0,TypeScript,2018-2020,1.0,0.8,0.0,0.0,0
10,1,0,0,28,2,2,1,1,1.0,0,TypeScript,2018-2020,1.0,9.33,0.33,0.33,0
10,1,0,0,1,1,1,0,1,2.0,0,TypeScript,2018-2020,1.0,0.5,0.0,1.0,0
10,1,0,0,9,3,1,0,1,17.0,0,TypeScript,2018-2020,1.0,2.25,0.0,8.5,0
22,1,0,1,2,0,2,1,1,1.0,0,TypeScript,2018-2020,1.0,2.0,0.33,0.33,0
1,2,0,1,54,39,10,0,1,1.0,0,TypeScript,2018-2020,1.0,1.35,0.0,0.09,0
10,3,0,0,7,7,4,0,0,0.0,0,TypeScript,2018-2020,1.0,0.88,0.0,0.0,0
