commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
10,4,0,0,59,64,2,0,6,1.0,0,TypeScript,2018-2020,1.0,0.91,0.0,0.33,0
12,4,0,0,18,155,6,2,6,5.33,0,TypeScript,2018-2020,1.0,0.12,0.29,0.76,0
10,5,1,0,85,135,4,1,3,4.33,0,TypeScript,2018-2020,1.0,0.62,0.2,0.87,0
11,5,1,0,17,19,2,0,3,18.33,0,TypeScript,2018-2020,1.0,0.85,0.0,6.11,0
11,6,1,0,47,30,3,1,6,8.83,0,TypeScript,2018-2020,1.0,1.52,0.25,2.21,0
16,0,0,0,1,0,1,0,1,4.0,0,TypeScript,2018-2020,1.0,1.0,0.0,2.0,0
20,0,0,0,38,2,2,1,2,6.0,0,TypeScript,2018-2020,1.0,12.67,0.33,2.0,0
22,0,0,1,67,1,3,2,3,3.67,0,TypeScript,2018-2020,1.0,33.5,0.5,0.92,0
8,1,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
11,1,0,0,4,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,4.0,0.0,0.0,0
20,1,0,0,27,1,3,1,3,5.67,0,TypeScript,2018-2020,1.0,13.5,0.25,1.42,0
18,2,0,0,32,1,2,1,2,2.5,0,TypeScript,2018-2020,1.0,16.0,0.33,0.83,0
9,3,0,0,3,3,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.75,0.0,0.0,0
9,3,0,0,80,76,5,0,3,6.0,0,TypeScript,2018-2020,1.0,1.04,0.0,1.0,0
10,3,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
19,3,0,0,42,36,3,0,3,8.33,0,TypeScript,2018-2020,1.0,1.14,0.0,2.08,0
13,4,0,0,13,14,3,0,11,2.73,0,TypeScript,2018-2020,1.0,0.87,0.0,0.68,0
15,4,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
11,5,1,0,120,120,7,2,10,1.7,0,TypeScript,2018-2020,1.0,0.99,0.25,0.21,0
11,5,1,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
18,5,1,0,365,51,3,0,0,0.0,0,TypeScript,2018-2020,1.0,7.02,0.0,0.0,0
11,6,1,0,39,46,27,0,0,0.0,0,TypeScript,2018-2020,1.0,0.83,0.0,0.0,0
9,0,0,0,19,29,4,1,1,1.0,0,TypeScript,2018-2020,1.0,0.63,0.2,0.2,0
18,0,0,0,94,160,7,1,7,12.0,0,TypeScript,2018-2020,1.0,0.58,0.12,1.5,0
8,2,0,0,0,0,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.0,0.0,0.0,0
11,2,0,0,113,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,56.5,0.0,0.0,0
11,2,0,0,6,6,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.86,0.0,0.0,0
18,2,0,0,73,4,3,1,4,4.75,0,TypeScript,2018-2020,1.0,14.6,0.25,1.19,0
