commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
19,2,0,0,16,18,15,0,1,4.0,0,TypeScript,2018-2020,1.0,0.84,0.0,0.25,0
20,2,0,0,15,2,1,0,1,2.0,0,TypeScript,2018-2020,1.0,5.0,0.0,1.0,0
12,3,0,0,1,1,1,0,1,6.0,0,TypeScript,2018-2020,1.0,0.5,0.0,3.0,0
13,3,0,0,142,95,15,0,13,3.38,0,TypeScript,2018-2020,1.0,1.48,0.0,0.21,0
17,3,0,0,78,5,4,1,2,8.0,0,TypeScript,2018-2020,1.0,13.0,0.2,1.6,0
13,4,0,0,1,1,1,0,1,6.0,0,TypeScript,2018-2020,1.0,0.5,0.0,3.0,0
13,4,0,0,2,2,1,0,1,7.0,0,TypeScript,2018-2020,1.0,0.67,0.0,3.5,0
15,4,0,0,112,4,14,1,10,1.7,0,TypeScript,2018-2020,1.0,22.4,0.07,0.11,0
15,4,0,0,75,6,6,0,9,2.89,0,TypeScript,2018-2020,1.0,10.71,0.0,0.41,0
15,4,0,0,96,19,3,0,3,1.67,0,TypeScript,2018-2020,1.0,4.8,0.0,0.42,0
21,4,0,0,9,2,1,0,2,1.5,0,TypeScript,2018-2020,1.0,3.0,0.0,0.75,0
22,4,0,1,5,3,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.25,0.0,0.0,0
4,5,1,1,45,2,7,0,2,1.0,0,TypeScript,2018-2020,1.0,15.0,0.0,0.12,0
19,5,1,0,7,2,1,0,1,1.0,0,TypeScript,2018-2020,1.0,2.33,0.0,0.5,0
19,6,1,0,3,2,1,0,2,7.5,0,TypeScript,2018-2020,1.0,1.0,0.0,3.75,0
18,1,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
18,1,0,0,11,6,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.57,0.0,0.0,0
18,1,0,0,108,0,5,0,3,1.0,0,TypeScript,2018-2020,1.0,108.0,0.0,0.17,0
19,1,0,0,12,2,1,0,5,2.4,0,TypeScript,2018-2020,1.0,4.0,0.0,1.2,0
12,3,0,0,106,23,5,1,2,4.0,0,TypeScript,2018-2020,1.0,4.42,0.17,0.67,0
12,3,0,0,50,9,3,0,0,0.0,0,TypeScript,2018-2020,1.0,5.0,0.0,0.0,0
18,4,0,0,6,4,3,0,2,2.0,0,TypeScript,2018-2020,1.0,1.2,0.0,0.5,0
18,4,0,0,1,1,1,0,1,19.0,0,TypeScript,2018-2020,1.0,0.5,0.0,9.5,0
18,4,0,0,199,455,17,0,129,1.78,0,TypeScript,2018-2020,1.0,0.44,0.0,0.1,0
1,6,1,1,4618,3060,9,0,7,2.43,0,TypeScript,2018-2020,1.0,1.51,0.0,0.24,0
1,6,1,1,326,1,8,0,8,2.5,0,TypeScript,2018-2020,1.0,163.0,0.0,0.28,0
2,6,1,1,72,11,4,0,6,3.0,0,TypeScript,2018-2020,1.0,6.0,0.0,0.6,0
16,0,0,0,49,12,2,0,9,2.22,0,TypeScript,2018-2020,1.0,3.77,0.0,0.74,0
16,0,0,0,2,2,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.67,0.0,0.0,0
16,1,0,0,8,8,4,0,0,0.0,0,TypeScript,2018-2020,1.0,0.89,0.0,0.0,0
16,1,0,0,76,75,35,0,12,3.92,0,TypeScript,2018-2020,1.0,1.0,0.0,0.11,0
16,3,0,0,2,3,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
16,3,0,0,1,2,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.33,0.0,0.5,0
16,3,0,0,94,1,4,0,3,1.0,0,TypeScript,2018-2020,1.0,47.0,0.0,0.2,0
16,3,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
16,3,0,0,162,0,5,0,2,1.0,0,TypeScript,2018-2020,1.0,162.0,0.0,0.17,0
13,5,1,0,89,13,7,0,5,1.0,0,TypeScript,2018-2020,1.0,6.36,0.0,0.12,0
11,0,0,0,46,0,3,1,2,1.0,0,TypeScript,2018-2020,1.0,46.0,0.25,0.25,0
14,0,0,0,93,64,38,0,62,2.27,0,TypeScript,2018-2020,1.0,1.43,0.0,0.06,0
15,0,0,0,419,439,37,1,89,2.94,0,TypeScript,2018-2020,1.0,0.95,0.03,0.08,0
17,1,0,0,21,1,2,0,2,1.0,0,TypeScript,2018-2020,1.0,10.5,0.0,0.33,0
7,5,1,0,11,1,1,0,2,3.0,0,TypeScript,2018-2020,1.0,5.5,0.0,1.5,0
7,5,1,0,131,125,4,0,8,1.12,0,TypeScript,2018-2020,1.0,1.04,0.0,0.22,0
8,5,1,0,124,34,7,0,9,1.44,1,TypeScript,2018-2020,0.143,3.54,0.0,0.18,0
12,5,1,0,3,2,1,0,2,7.0,0,TypeScript,2018-2020,1.0,1.0,0.0,3.5,0
21,1,0,0,60,50,2,0,4,6.75,0,TypeScript,2018-2020,1.0,1.18,0.0,2.25,1
21,1,0,0,7,0,1,0,2,2.5,0,TypeScript,2018-2020,1.0,7.0,0.0,1.25,1
21,1,0,0,1,20,2,0,2,2.5,0,TypeScript,2018-2020,1.0,0.05,0.0,0.83,0
