commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
14,5,1,0,93,77,1,0,13,2.0,0,TypeScript,2018-2020,1.0,1.19,0.0,1.0,3
16,5,1,0,7,8,1,0,2,3.0,0,TypeScript,2018-2020,1.0,0.78,0.0,1.5,3
16,5,1,0,22,18,4,0,4,2.5,0,TypeScript,2018-2020,1.0,1.16,0.0,0.5,0
17,5,1,0,10,13,1,0,2,1.0,0,TypeScript,2018-2020,1.0,0.71,0.0,0.5,0
2,0,0,1,119,73,1,0,1,1.0,0,TypeScript,2018-2020,1.0,1.61,0.0,0.5,0
16,1,0,0,1,6,2,0,4,10.75,0,TypeScript,2018-2020,1.0,0.14,0.0,3.58,2
14,4,0,0,20,1,2,0,2,2.5,1,TypeScript,2018-2020,0.4,10.0,0.0,0.83,1
14,4,0,0,34,3,1,0,0,0.0,1,TypeScript,2018-2020,0.4,8.5,0.0,0.0,3
11,0,0,0,8,0,2,0,0,0.0,0,TypeScript,2018-2020,1.0,8.0,0.0,0.0,4
11,0,0,0,517,115,7,0,17,5.53,0,TypeScript,2018-2020,1.0,4.46,0.0,0.69,4
22,3,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
23,5,1,1,45,14,2,0,8,3.38,1,TypeScript,2018-2020,0.4,3.0,0.0,1.13,4
17,6,1,0,18,19,13,0,21,3.76,0,TypeScript,2018-2020,1.0,0.9,0.0,0.27,5
23,0,0,1,44,2,3,0,3,3.33,1,TypeScript,2018-2020,0.4,14.67,0.0,0.83,5
17,1,0,0,331,3,6,0,10,1.4,0,TypeScript,2018-2020,1.0,82.75,0.0,0.2,6
22,1,0,1,32,0,1,0,1,1.0,0,TypeScript,2018-2020,1.0,32.0,0.0,0.5,6
9,5,1,0,6,37,2,0,2,17.0,0,TypeScript,2018-2020,1.0,0.16,0.0,5.67,1
9,5,1,0,16,1,2,0,2,17.0,0,TypeScript,2018-2020,1.0,8.0,0.0,5.67,1
9,5,1,0,8,24,2,0,2,15.0,0,TypeScript,2018-2020,1.0,0.32,0.0,5.0,1
9,5,1,0,21,3,2,0,2,15.5,0,TypeScript,2018-2020,1.0,5.25,0.0,5.17,1
11,5,1,0,9,1,1,0,4,3.5,0,TypeScript,2018-2020,1.0,4.5,0.0,1.75,0
11,5,1,0,38,8,2,0,4,2.25,0,TypeScript,2018-2020,1.0,4.22,0.0,0.75,0
13,5,1,0,38,0,1,0,1,1.0,0,TypeScript,2018-2020,1.0,38.0,0.0,0.5,6
16,5,1,0,43,12,2,0,8,2.25,1,TypeScript,2018-2020,0.4,3.31,0.0,0.75,6
16,5,1,0,33,4,4,0,6,9.67,1,TypeScript,2018-2020,0.4,6.6,0.0,1.93,7
6,6,1,0,29,12,7,0,9,2.44,0,TypeScript,2018-2020,1.0,2.23,0.0,0.3,0
6,6,1,0,9,9,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.9,0.0,0.5,1
13,0,0,0,238,14,10,0,13,5.46,0,TypeScript,2018-2020,1.0,15.87,0.0,0.5,8
0,1,0,1,16,1,2,0,3,8.0,0,TypeScript,2018-2020,1.0,8.0,0.0,2.67,2
17,1,0,0,10,4,4,0,8,10.25,0,TypeScript,2018-2020,1.0,2.0,0.0,2.05,1
17,1,0,0,13,1,2,0,3,8.0,0,TypeScript,2018-2020,1.0,6.5,0.0,2.67,8
19,1,0,0,1,1,1,0,2,11.5,0,TypeScript,2018-2020,1.0,0.5,0.0,5.75,2
19,1,0,0,1,1,1,0,2,11.5,0,TypeScript,2018-2020,1.0,0.5,0.0,5.75,2
21,2,0,0,2,1,1,0,2,12.0,0,TypeScript,2018-2020,1.0,1.0,0.0,6.0,2
17,4,0,0,3,3,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.75,0.0,0.0,8
17,4,0,0,9,5,1,0,4,5.75,0,TypeScript,2018-2020,1.0,1.5,0.0,2.88,8
11,6,1,0,3,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.5,0.0,0.0,1
4,0,0,1,136,121,1,0,4,1.0,0,TypeScript,2018-2020,1.0,1.11,0.0,0.5,1
4,0,0,1,8,8,1,0,3,1.0,0,TypeScript,2018-2020,1.0,0.89,0.0,0.5,1
10,0,0,0,10,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,10.0,0.0,0.0,1
1,1,0,1,2,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.0,0.0,0.0,1
3,1,0,1,1,1,1,0,1,12.0,0,TypeScript,2018-2020,1.0,0.5,0.0,6.0,1
11,1,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
11,1,0,0,58,41,2,0,3,1.0,0,TypeScript,2018-2020,1.0,1.38,0.0,0.33,0
11,1,0,0,50,6,2,0,3,1.33,0,TypeScript,2018-2020,1.0,7.14,0.0,0.44,0
11,1,0,0,3,3,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.75,0.0,0.5,0
12,1,0,0,27,2,1,0,2,1.0,0,TypeScript,2018-2020,1.0,9.0,0.0,0.5,0
15,3,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
12,5,1,0,1,0,1,0,1,2.0,0,TypeScript,2018-2020,1.0,1.0,0.0,1.0,8
1,6,1,1,22,6,2,0,3,3.33,0,TypeScript,2018-2020,1.0,3.14,0.0,1.11,8
2,0,0,1,2,12,2,0,4,3.0,1,TypeScript,2018-2020,0.4,0.15,0.0,1.0,0
2,0,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,1
14,0,0,0,1,1,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.5,8
17,0,0,0,6,6,5,0,7,7.86,0,TypeScript,2018-2020,1.0,0.86,0.0,1.31,0
17,0,0,0,90,90,12,0,12,1.0,0,TypeScript,2018-2020,1.0,0.99,0.0,0.08,8
22,0,0,1,172,103,5,0,5,1.4,0,TypeScript,2018-2020,1.0,1.65,0.0,0.23,1
18,1,0,0,305,5,7,0,11,2.09,1,TypeScript,2018-2020,0.4,50.83,0.0,0.26,8
21,1,0,0,0,41,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.0,0.0,0.0,9
0,3,0,1,1,3,1,0,1,10.0,0,TypeScript,2018-2020,1.0,0.25,0.0,5.0,0
11,3,0,0,1,1,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.5,0
14,4,0,0,90,90,12,0,12,1.0,0,TypeScript,2018-2020,1.0,0.99,0.0,0.08,9
19,4,0,0,145,0,4,0,4,3.75,0,TypeScript,2018-2020,1.0,145.0,0.0,0.75,9
23,4,0,1,62,69,1,0,7,1.43,0,TypeScript,2018-2020,1.0,0.89,0.0,0.72,9
9,5,1,0,5,5,3,0,5,6.0,0,TypeScript,2018-2020,1.0,0.83,0.0,1.5,0
11,5,1,0,6,45,3,0,8,1.75,0,TypeScript,2018-2020,1.0,0.13,0.0,0.44,9
21,1,0,0,15,2,2,0,3,9.0,0,TypeScript,2018-2020,1.0,5.0,0.0,3.0,0
21,1,0,0,6,2,1,0,1,14.0,0,TypeScript,2018-2020,1.0,2.0,0.0,7.0,0
23,1,0,1,2,1,1,0,1,4.0,0,TypeScript,2018-2020,1.0,1.0,0.0,2.0,9
1,3,0,1,69,5,5,0,5,1.0,0,TypeScript,2018-2020,1.0,11.5,0.0,0.17,9
