commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
10,0,0,0,2,2,1,0,0,0.0,0,Python,2018-2020,1.0,0.67,0.0,0.0,0
10,0,0,0,5,1,1,0,1,5.0,0,Python,2018-2020,1.0,2.5,0.0,2.5,0
10,0,0,0,24,0,1,0,2,5.5,0,Python,2018-2020,1.0,24.0,0.0,2.75,0
10,0,0,0,5,1,1,0,1,3.0,0,Python,2018-2020,1.0,2.5,0.0,1.5,0
11,0,0,0,15,2,2,2,2,1.5,0,Python,2018-2020,1.0,5.0,0.67,0.5,0
11,0,0,0,2,0,1,0,1,1.0,0,Python,2018-2020,1.0,2.0,0.0,0.5,0
11,0,0,0,9,1,1,1,2,1.0,0,Python,2018-2020,1.0,4.5,0.5,0.5,0
13,0,0,0,4,4,1,0,0,0.0,0,Python,2018-2020,1.0,0.8,0.0,0.0,0
13,0,0,0,4,0,1,0,1,12.0,0,Python,2018-2020,1.0,4.0,0.0,6.0,0
13,0,0,0,11,0,3,1,5,2.2,0,Python,2018-2020,1.0,11.0,0.25,0.55,0
14,0,0,0,4,0,1,0,0,0.0,0,Python,2018-2020,1.0,4.0,0.0,0.0,0
11,1,0,0,5,5,3,0,0,0.0,0,Python,2018-2020,1.0,0.83,0.0,0.0,0
11,1,0,0,0,1,1,0,1,3.0,0,Python,2018-2020,1.0,0.0,0.0,1.5,0
11,1,0,0,2,2,1,0,0,0.0,0,Python,2018-2020,1.0,0.67,0.0,0.0,0
10,2,0,0,3,0,1,0,1,4.0,0,Python,2018-2020,1.0,3.0,0.0,2.0,0
10,2,0,0,4,6,3,0,3,3.67,0,Python,2018-2020,1.0,0.57,0.0,0.92,0
23,2,0,1,2,7,2,1,3,3.0,0,Python,2018-2020,1.0,0.25,0.33,1.0,0
23,2,0,1,13,14,3,1,8,1.75,0,Python,2018-2020,1.0,0.87,0.25,0.44,0
